,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
94,94,8.791976928710938,2022-12-25 01:27:57.559258,2022-12-25 01:28:33.230878,0 days 00:00:35.671620,sigmoid,0.35000000000000003,3,0.95,8.791976928710938,,,,PRUNED
95,95,113.59532165527344,2022-12-25 01:28:33.323681,2022-12-25 01:28:41.655197,0 days 00:00:08.331516,relu,0.2,2,0.65,113.59532165527344,,,,PRUNED
96,96,2.9700493812561035,2022-12-25 01:28:41.739575,2022-12-25 01:29:14.088487,0 days 00:00:32.348912,relu,0.30000000000000004,3,0.6,40.00901794433594,16.355937957763672,,,COMPLETE
97,97,5.383910655975342,2022-12-25 01:29:14.184206,2022-12-25 01:29:39.979199,0 days 00:00:25.794993,sigmoid,0.30000000000000004,5,0.85,,,,,COMPLETE
98,98,108.09454345703125,2022-12-25 01:29:40.089807,2022-12-25 01:29:48.825124,0 days 00:00:08.735317,tanh,0.5,3,0.6,108.09454345703125,,,,PRUNED
99,99,1.4228578805923462,2022-12-25 01:29:48.908213,2022-12-25 01:31:11.753538,0 days 00:01:22.845325,relu,0.45,2,0.7,20.30483055114746,5.593957901000977,,,COMPLETE
100,100,21.650402069091797,2022-12-25 01:31:11.867797,2022-12-25 01:31:27.267623,0 days 00:00:15.399826,relu,0.45,4,0.6,60.294315338134766,21.650402069091797,,,PRUNED
101,101,38.71495819091797,2022-12-25 01:31:27.360296,2022-12-25 01:31:42.848772,0 days 00:00:15.488476,relu,0.4,3,0.75,48.221553802490234,38.71495819091797,,,PRUNED
102,102,8.36205005645752,2022-12-25 01:31:42.926037,2022-12-25 01:32:18.522058,0 days 00:00:35.596021,tanh,0.45,3,0.65,21.27941131591797,8.36205005645752,,,PRUNED
103,103,47.21894454956055,2022-12-25 01:32:18.606619,2022-12-25 01:32:34.220862,0 days 00:00:15.614243,relu,0.5,6,0.75,47.21894454956055,,,,PRUNED
104,104,27.740732192993164,2022-12-25 01:32:34.295484,2022-12-25 01:32:49.502031,0 days 00:00:15.206547,sigmoid,0.45,3,0.85,27.740732192993164,,,,PRUNED
105,105,1.4971024990081787,2022-12-25 01:32:49.586349,2022-12-25 01:34:33.252786,0 days 00:01:43.666437,tanh,0.5,2,0.6,19.16012954711914,5.832520008087158,4.729641437530518,,COMPLETE
106,106,6.653685092926025,2022-12-25 01:34:33.341918,2022-12-25 01:35:08.767420,0 days 00:00:35.425502,sigmoid,0.4,2,0.65,6.653685092926025,,,,PRUNED
107,107,25.589153289794922,2022-12-25 01:35:08.851881,2022-12-25 01:35:23.941835,0 days 00:00:15.089954,tanh,0.5,2,0.6,25.589153289794922,,,,PRUNED
108,108,6.692439079284668,2022-12-25 01:35:24.026561,2022-12-25 01:35:59.246911,0 days 00:00:35.220350,tanh,0.5,2,0.6,10.8082275390625,6.692439079284668,,,PRUNED
109,109,22.54033851623535,2022-12-25 01:35:59.322909,2022-12-25 01:36:14.995709,0 days 00:00:15.672800,relu,0.30000000000000004,4,0.7,64.48762512207031,22.54033851623535,,,PRUNED
110,110,19.480453491210938,2022-12-25 01:36:15.070740,2022-12-25 01:36:30.319549,0 days 00:00:15.248809,relu,0.5,3,0.65,41.85105514526367,19.480453491210938,,,PRUNED
111,111,1.6987086534500122,2022-12-25 01:36:30.395548,2022-12-25 01:37:36.152582,0 days 00:01:05.757034,relu,0.15000000000000002,2,0.6,48.092926025390625,10.657215118408203,5.777571201324463,,COMPLETE
112,112,94.52637481689453,2022-12-25 01:37:36.255550,2022-12-25 01:37:44.771202,0 days 00:00:08.515652,relu,0.15000000000000002,2,0.6,94.52637481689453,,,,PRUNED
113,113,7.605173110961914,2022-12-25 01:37:44.856539,2022-12-25 01:38:20.319477,0 days 00:00:35.462938,tanh,0.45,3,0.65,13.422136306762695,7.605173110961914,,,PRUNED
114,114,1.3745620250701904,2022-12-25 01:38:20.403490,2022-12-25 01:39:56.715325,0 days 00:01:36.311835,relu,0.1,2,0.6,39.49418640136719,11.089601516723633,5.770503520965576,3.9178965091705322,COMPLETE
115,115,97.62873840332031,2022-12-25 01:39:56.816833,2022-12-25 01:40:05.144843,0 days 00:00:08.328010,relu,0.1,2,0.6,97.62873840332031,,,,PRUNED
116,116,104.68547058105469,2022-12-25 01:40:05.229264,2022-12-25 01:40:13.894174,0 days 00:00:08.664910,relu,0.05,2,0.65,104.68547058105469,,,,PRUNED
117,117,42.51462173461914,2022-12-25 01:40:13.970500,2022-12-25 01:40:29.652312,0 days 00:00:15.681812,tanh,0.4,7,0.7,42.51462173461914,,,,PRUNED
118,118,106.39427185058594,2022-12-25 01:40:29.727631,2022-12-25 01:40:38.050665,0 days 00:00:08.323034,tanh,0.1,2,0.65,106.39427185058594,,,,PRUNED
119,119,95.57655334472656,2022-12-25 01:40:38.125993,2022-12-25 01:40:46.433364,0 days 00:00:08.307371,relu,0.15000000000000002,2,0.85,95.57655334472656,,,,PRUNED
120,120,9.484925270080566,2022-12-25 01:40:46.509688,2022-12-25 01:41:22.312619,0 days 00:00:35.802931,sigmoid,0.30000000000000004,3,0.7,9.484925270080566,,,,PRUNED
121,121,7.31425142288208,2022-12-25 01:41:22.390289,2022-12-25 01:41:57.768248,0 days 00:00:35.377959,relu,0.05,2,0.6,30.911399841308594,10.696601867675781,7.31425142288208,,PRUNED
122,122,7.143502712249756,2022-12-25 01:41:57.845922,2022-12-25 01:42:32.981920,0 days 00:00:35.135998,tanh,0.45,2,1.0,13.68368911743164,7.143502712249756,,,PRUNED
123,123,3.5696094036102295,2022-12-25 01:42:33.059903,2022-12-25 01:43:05.759478,0 days 00:00:32.699575,sigmoid,0.25,5,0.8,,,,,COMPLETE
124,124,1.486538052558899,2022-12-25 01:43:05.856378,2022-12-25 01:44:48.526650,0 days 00:01:42.670272,relu,0.15000000000000002,2,0.65,10.43259334564209,5.678372859954834,4.362456798553467,,COMPLETE
125,125,88.1510009765625,2022-12-25 01:44:48.629680,2022-12-25 01:44:57.271195,0 days 00:00:08.641515,sigmoid,0.25,2,1.0,88.1510009765625,,,,PRUNED
126,126,250.5618896484375,2022-12-25 01:44:57.365556,2022-12-25 01:45:06.436291,0 days 00:00:09.070735,relu,0.15000000000000002,7,0.7,250.5618896484375,,,,PRUNED
